Row,Date,Category,Store,Address
307,2007-09-01,Travel,Custom College Shop,E100
239,2007-09-01,Travel,Footaction USA,E102
25,2007-09-01,Travel,Glamour Shots,E104
26,2007-09-01,Travel,Glamour Shots Kids,E108
135,2007-09-01,Travel,Mall of America Gift Store,E110
175,2007-09-01,Travel,Lundstrom Jewelers,E112
394,2007-09-01,Restaurants & Quick Serve Restaurants,P.B.Loco Peanutbutterlicious Café,E114
59,2007-09-01,Travel,Barnes & Noble,E118
104,2007-09-01,Travel,Underwater Adventures® Aquarium,E120
148,2007-09-01,Travel,Street Corner News,E122
12,2007-09-01,Travel,For Love 21,E126
396,2007-09-01,Restaurants & Quick Serve Restaurants,Rocky Mountain Chocolate Factory,E128
386,2007-09-01,Restaurants & Quick Serve Restaurants,Haagen Dazs,E130
220,2007-09-01,Travel,Old Navy,E138
317,2007-09-01,Travel,Charlotte Russe,E141
180,2007-09-01,Travel,Ultra Diamonds,E142
240,2007-09-01,Travel,Johnston & Murphy,E144
63,2007-09-01,Travel,Glitz!,E145
232,2007-09-01,Travel,Clarks,E146
144,2007-09-01,Travel,Ridemakerz,E148
51,2007-09-01,Travel,Regis Salons,E152
34,2007-09-01,Travel,Basin,E154
125,2007-09-01,Travel,Field of Dreams,E156
137,2007-09-01,Travel,Minnesot-ah!,E157
314,2007-09-01,Travel,The Hockey Lodge,E160
22,2007-09-01,Travel,Swatch,E162
399,2007-09-01,Restaurants & Quick Serve Restaurants,Starbucks Coffee Company,E164
142,2007-09-01,Travel,QVC @ The Mall,E168
120,2007-09-01,Travel,Build-A-Bear Workshop®,E170
126,2007-09-01,Travel,friends 2B made®,E172
5,2007-09-01,Travel,Claire's Boutique,E179
380,2007-09-01,Restaurants & Quick Serve Restaurants,Cinnabon,E180
204,2007-09-01,Travel,Daniel's Leather,E200
128,2007-09-01,Travel,Irish Indeed!,E201
199,2007-09-01,Travel,"Buckle, The",E203
190,2007-09-01,Travel,Ralph Marlin Ties,E208
319,2007-09-01,Women's Fashions,Forever 21,E212
361,2007-09-01,Travel,Money Xchange,E218
182,2007-09-01,Travel,Zales,E240
236,2007-09-01,Travel,"Finish Line, The",E241
373,2007-09-01,Restaurants & Quick Serve Restaurants,Auntie Anne's,E242
221,2007-09-01,Travel,Pac Sun,E246
219,2007-09-01,Travel,Old Navy,E248
257,2007-09-01,Travel,Underground Station,E258
124,2007-09-01,Travel,Destination Minnesota,E260
13,2007-09-01,Travel,Fossil,E262
21,2007-09-01,Travel,Sunglass Hut,E266
252,2007-09-01,Travel,Shi by Journeys,E268
242,2007-09-01,Travel,Kids Foot Locker,E272
243,2007-09-01,Travel,Lady Foot Locker,E272
23,2007-09-01,Travel,Watch World International,E275
385,2007-09-01,Restaurants & Quick Serve Restaurants,Godiva Chocolatier,E278
117,2007-09-01,Travel,As Seen On T.V.,E282
392,2007-09-01,Restaurants & Quick Serve Restaurants,Nestle Toll House Café,E283
85,2007-09-01,Travel,GameStop,E284
53,2007-09-01,Travel,Trade Secret,E285
28,2007-09-01,Travel,Ritz Camera,E290
163,2007-09-01,Travel,Select Comfort,E292
171,2007-09-01,Travel,Gordon's Jewelers,E296
359,2007-09-01,Travel,Heakin Research,E300
82,2007-09-01,Travel,AT&T;,E302
384,2007-09-01,Restaurants & Quick Serve Restaurants,Gloria Jean's Gourmet Coffee,E306
173,2007-09-01,Travel,Just Silver,E314
152,2007-09-01,Travel,"Vaase, The",E315
215,2007-09-01,Travel,Marshalls,E320
349,2007-09-01,Women's Fashions,Rainbow,E330
155,2007-09-01,Travel,Dollar Tree,E336
360,2007-09-01,Travel,Metropolitian Learning Alliance,E337
90,2007-09-01,Travel,Radio Shack,E338
58,2007-09-01,Travel,"Archiver's, The Photo Memory Store",E339
96,2007-09-01,Travel,A.C.E.S. Flight Simulation,E340
105,2007-09-01,Travel,LensCrafters,E344
62,2007-09-01,Travel,Chapel of Love Wedding Chapel,E345
160,2007-09-01,Travel,Corda-Roy's Originals,E348
131,2007-09-01,Travel,Lake Wobegon USA,E350
47,2007-09-01,Travel,Oxynate,E352
168,2007-09-01,Travel,Black Hills Gold Jewelers,E357
328,2007-09-01,Travel,Games by James,E358
351,2007-09-01,Women's Fashions,SXXY,E360
331,2007-09-01,Travel,Toy Corner Express,E362
45,2007-09-01,Travel,Nail Trix,E363
116,2007-09-01,Travel,Alpaca Connection,E367
43,2007-09-01,Travel,MasterCuts Salons,E368
31,2007-09-01,Travel,Aquamassage,E370
329,2007-09-01,Travel,Model Cars,E372
429,2007-09-01,Restaurants & Quick Serve Restaurants,Hooters,E404
357,2007-09-01,Travel,Mall of America Executive Center,E410
441,2007-09-01,Restaurants & Quick Serve Restaurants,Wolfgang Puck Express®,N100
337,2007-09-01,Women's Fashions,bebe sport,N101
202,2007-09-01,Travel,Club Monaco,N102
336,2007-09-01,Women's Fashions,bebe,N104
222,2007-09-01,Travel,Puma,N106
17,2007-09-01,Travel,Oakley,N107
217,2007-09-01,Travel,Metropark,N108
1,2007-09-01,Travel,Aldo Accessories,N114
192,2007-09-01,Travel,Aeropostale,N118
212,2007-09-01,Travel,Heritage 1981,N120
158,2007-09-01,Travel,Street Corner News,N122
181,2007-09-01,Travel,World of Charms,N124
121,2007-09-01,Travel,Callister's Christmas,N127
134,2007-09-01,Travel,Mall of America Gift Store,N128
363,2007-09-01,Travel,Explore Minnesota Store,N128
440,2007-09-01,Restaurants & Quick Serve Restaurants,Twin City Grill,N130
133,2007-09-01,Travel,Magnet Max,N132
75,2007-09-01,Travel,Justice,N134
203,2007-09-01,Travel,d.e.m.o,N140
323,2007-09-01,Travel,Quiksilver Boardriders Club,N144
352,2007-09-01,Women's Specialty Fashions,Torrid,N148
248,2007-09-01,Travel,Payless Shoe Source,N150
342,2007-09-01,Women's Fashions,Deb/Deb Plus,N151
241,2007-09-01,Travel,Journeys,N154
325,2007-09-01,Women's Fashions,Wet Seal,N159
254,2007-09-01,Travel,Spring,N166
213,2007-09-01,Travel,Hot Topic,N168
11,2007-09-01,Travel,European Gifts,N170
35,2007-09-01,Travel,Bath & Body Works,N172
170,2007-09-01,Travel,Goodman Jewelers Galleria,N174
55,2007-09-01,Travel,Victoria's Secret,N178
334,2007-09-01,Women's Fashions,Ann Taylor Loft,N184
246,2007-09-01,Travel,One Thousand Steps,N186
229,2007-09-01,Travel,Aldo,N188
225,2007-09-01,Travel,Sisley,N190
379,2007-09-01,Restaurants & Quick Serve Restaurants,Caribou Coffee,N194
191,2007-09-01,Travel,Abercrombie & Fitch,N200
253,2007-09-01,Travel,Skechers,N214
88,2007-09-01,Travel,"Mobile Solution, The",N216
44,2007-09-01,Travel,Mia & Maxx Hair Studio,N218
48,2007-09-01,Travel,Perfumania,N219
321,2007-09-01,Travel,Jimmy'Z,N221
183,2007-09-01,Travel,Elante,N224
434,2007-09-01,Restaurants & Quick Serve Restaurants,Ruby Tuesday,N234
69,2007-09-01,Travel,Club Libby Lu,N238
347,2007-09-01,Women's Fashions,maurices,N240
249,2007-09-01,Travel,Pro Image,N244
235,2007-09-01,Travel,Famous Footwear,N246
193,2007-09-01,Travel,American Eagle Outfitters,N248
100,2007-09-01,Travel,Mystic Lake Casino Hotel,N252
143,2007-09-01,Travel,Razz,N256
316,2007-09-01,Women's Fashions,5 7 9,N258
24,2007-09-01,Travel,Deck The Walls,N260
6,2007-09-01,Travel,Claire's Club,N262
320,2007-09-01,Travel,Hollister,N267
318,2007-09-01,Travel,dELiA*s,N270
313,2007-09-01,Travel,Team Choice,N274
197,2007-09-01,Travel,Big Dog Sportswear,N275
205,2007-09-01,Travel,Ecko Enterprises,N276
208,2007-09-01,Travel,Fossil: The Jean Store,N282
154,2007-09-01,Travel,Yankee Candle,N286
149,2007-09-01,Travel,Swarovski,N288
33,2007-09-01,Travel,Bare Escentuals,N294
123,2007-09-01,Travel,Department 56,N300
311,2007-09-01,Travel,Powerhouse Ride Shop,N308
115,2007-09-01,Travel,Alamo Flags,N312
201,2007-09-01,Travel,City Shirts,N314
138,2007-09-01,Travel,Minnesota Bound,N316
74,2007-09-01,Travel,Journeys Kidz,N318
410,2007-09-01,Restaurants & Quick Serve Restaurants,Dairy Queen,N328
405,2007-09-01,Restaurants & Quick Serve Restaurants,Burger King,N330
419,2007-09-01,Restaurants & Quick Serve Restaurants,Nathan's,N331
416,2007-09-01,Restaurants & Quick Serve Restaurants,Little Tokyo,N335
408,2007-09-01,Restaurants & Quick Serve Restaurants,Col. Muzzy's Texas BBQ,N336
425,2007-09-01,Restaurants & Quick Serve Restaurants,Taco Bell,N338
411,2007-09-01,Restaurants & Quick Serve Restaurants,Frullati Café,N342
407,2007-09-01,Restaurants & Quick Serve Restaurants,Charley's,N344
402,2007-09-01,Restaurants & Quick Serve Restaurants,Arby's,N346
421,2007-09-01,Restaurants & Quick Serve Restaurants,Panda Express,N350
330,2007-09-01,Travel,Toy Corner,N352
141,2007-09-01,Travel,Petters,N356
186,2007-09-01,Travel,Afterhours Formal Wear,N364
15,2007-09-01,Travel,Keeping Time,N365
374,2007-09-01,Restaurants & Quick Serve Restaurants,Auntie Anne's,N366
110,2007-09-01,Travel,Sunblox,N367
146,2007-09-01,Travel,Spencer Gifts,N368
39,2007-09-01,Travel,General Nutrition Center,N370
49,2007-09-01,Travel,Perfumania,N372
310,2007-09-01,Travel,Lids,N373
99,2007-09-01,Travel,Moose Mountain Adventure Golf,N376
84,2007-09-01,Travel,GameStop,N378
258,2007-09-01,Travel,Vans,N380
94,2007-09-01,Travel,T Mobile,N382
250,2007-09-01,Travel,Red Wing Shoe Co. Inc.,N384
224,2007-09-01,Travel,RCC Western Stores,N386
129,2007-09-01,Travel,Itz-A-Puzzle,N390
382,2007-09-01,Restaurants & Quick Serve Restaurants,Delimango,N392
4,2007-09-01,Travel,Claire's Boutique,N394
433,2007-09-01,Restaurants & Quick Serve Restaurants,Rainforest Cafe,S102
259,2007-09-01,Travel,"Walking Company, The",S108
209,2007-09-01,Travel,Gap,S110
237,2007-09-01,Travel,First,S116
68,2007-09-01,Travel,"Children's Place, The",S118
194,2007-09-01,Travel,American Eagle Outfitters,S120
388,2007-09-01,Restaurants & Quick Serve Restaurants,Healthy Express,S126
81,2007-09-01,Travel,Apple Store,S132
335,2007-09-01,Women's Fashions,Arden B,S138
83,2007-09-01,Travel,Bose,S140
