row,date,category,store,address,phone
2,2017-10-01,ACCESSORIES,Almost Famous Body Piercing,E350,854-8000
3,2017-10-01,ACCESSORIES,Chapel of Love,E318,854-4656
4,2017-10-01,ACCESSORIES,Claire’s,E179,854-5504
5,2017-10-01,ACCESSORIES,Claire’s,N394,851-0050
6,2017-10-01,ACCESSORIES,Claire’s,E292,858-9903
8,2017-10-01,ACCESSORIES,Icing,E247,854-8851
10,2017-10-01,ACCESSORIES,Sox Appeal,W391,858-9141
12,2017-10-01,APPAREL,A|X Armani Exchange,S141,854-9400
13,2017-10-01,APPAREL,abercrombie,W209,854-2671
14,2017-10-01,APPAREL,Abercrombie & Fitch,N200,851-0911
15,2017-10-01,APPAREL,aerie,E200,854-4178
16,2017-10-01,APPAREL,Aéropostale,N267,854-9446
17,2017-10-01,APPAREL,A’GACI,E246,854-1649
18,2017-10-01,APPAREL,Alpaca Connection,E367,883-0828
19,2017-10-01,APPAREL,Altar’d State,N105,763-489-0037
20,2017-10-01,APPAREL,American Eagle Outfitters,S120,851-9011
21,2017-10-01,APPAREL,American Eagle Outfitters,N248,854-4788
22,2017-10-01,APPAREL,Ann Taylor,S218,854-9220
23,2017-10-01,APPAREL,Anthropologie,C128,953-9900
24,2017-10-01,APPAREL,Athleta,S145,854-9387
25,2017-10-01,APPAREL,babyGap,S210,854-1011
26,2017-10-01,APPAREL,Banana Republic,W100,854-1818
27,2017-10-01,APPAREL,Boot Barn,N386,854-1063
28,2017-10-01,APPAREL,BOSS HUGO BOSS,S176,854-4403
29,2017-10-01,APPAREL,Buckle,E203,854-4388
30,2017-10-01,APPAREL,Burberry,S178,854-7000
31,2017-10-01,APPAREL,Calvin Klein Performance,S130,854-1318
32,2017-10-01,APPAREL,Carhartt,N144,612-318-6422
33,2017-10-01,APPAREL,Carter’s baby,S254,854-4522
34,2017-10-01,APPAREL,Champs Sports,W358,858-9215
35,2017-10-01,APPAREL,Champs Sports,E202,854-4980
36,2017-10-01,APPAREL,Chapel Hats,N170,854-6707
37,2017-10-01,APPAREL,Charlotte Russe,E141,854-6862
38,2017-10-01,APPAREL,Chico’s,S160,851-0882
39,2017-10-01,APPAREL,Christopher & Banks | c.j. banks,S270,858-8512
40,2017-10-01,APPAREL,City Shirts,W383,
41,2017-10-01,APPAREL,Club Monaco,N102,854-2200
42,2017-10-01,APPAREL,Columbia Sportswear,W112,854-5260
43,2017-10-01,APPAREL,Cotton:On,N278,854-5533
44,2017-10-01,APPAREL,Cowgirl Tuff Company,N302,546-1601
45,2017-10-01,APPAREL,Crayola Experience + Store,S300,851-5800
46,2017-10-01,APPAREL,Destination Maternity,S258,854-1144
47,2017-10-01,APPAREL,Eddie Bauer,S214,851-0727
48,2017-10-01,APPAREL,Everything But Water,W290,858-9563
49,2017-10-01,APPAREL,Express,W204,851-0741
50,2017-10-01,APPAREL,Fabletics,S142,651-583-5511
51,2017-10-01,APPAREL,Farm Boy Farm Girl,N166,854-1311
52,2017-10-01,APPAREL,Fjällräven,S128,651-255-3050
53,2017-10-01,APPAREL,Forever 21,E144,854-1890
54,2017-10-01,APPAREL,Francesca’s Collections,S116,854-9985
55,2017-10-01,APPAREL,Free People,S149,854-9905
56,2017-10-01,APPAREL,Gap,S110,854-1011
57,2017-10-01,APPAREL,Gap kids,S210,854-1011
58,2017-10-01,APPAREL,Garage,N140,854-4592
59,2017-10-01,APPAREL,Goldy’s Locker Room,W366,858-9585
60,2017-10-01,APPAREL,Guess,S260,858-8241
61,2017-10-01,APPAREL,H&M,W117,855-466-7467
62,2017-10-01,APPAREL,Hammer Made,S150,854-9097
63,2017-10-01,APPAREL,Hanna Andersson,N190,854-9598
64,2017-10-01,APPAREL,Harley-Davidson Motor Company,W344,854-1225
65,2017-10-01,APPAREL,Hockey Minnesota by Goldy’s Locker Room,E160,854-9484
66,2017-10-01,APPAREL,Hollister,W210,854-1139
67,2017-10-01,APPAREL,Hot Topic,N168,858-9150
68,2017-10-01,APPAREL,ivivva athletica,S290,854-1614
69,2017-10-01,APPAREL,J. CREW,S200,814-7419
70,2017-10-01,APPAREL,J.Jill,S228,876-0031
71,2017-10-01,APPAREL,Janie and Jack,S168,854-2009
72,2017-10-01,APPAREL,June Active,S140,651-365-1830
73,2017-10-01,APPAREL,Justice,S255,851-9557
74,2017-10-01,APPAREL,Lacoste,S172,854-9944
75,2017-10-01,APPAREL,Lane Bryant,S229,356-3325
