1,Accessories,Claire's Boutique,E114,854-5504
2,Accessories,Claire's Boutique,N394,851-0050
3,Accessories,Dakota Watch Company,Bloomingdales' Court Level 1,858-8420
4,Accessories,definitely different (Cart),West 1,858-9819
5,Accessories,Deziner Alternative Sunglasses (Cart),East 3,851-9253
6,Accessories,Fossil,E262,854-6447
7,Accessories,Got a Light (Cart),West 1,858-8468
8,Accessories,Hair Diamonds (Cart),West 1 No Phone,Hearts Desire/Brighton Shoes
9,Accessories,E168,854-8043,Joe Cool's Hot Shop
10,Accessories,SNOOPY,883-8789,Just Silver
11,Accessories,E314,814-0144,Keeping Time
12,Accessories,N365,854-0609,Magnetic Magic (Cart)
13,Accessories,South 1,No Phone,Personalized Rice (Cart)
14,Accessories,East 3,851-9026,Sara Cura Silver (Cart)
15,Accessories,West 1,814-8453,Silver Time (Cart)
16,Accessories,South 3,854-1404,Simply Sterling (Cart)
17,Accessories,West 1,853-9997,Sox Appeal
18,Accessories,W391,858-9141,Sunglass Hut
19,Accessories,N294,858-8445,Sunglass Hut
20,Accessories,W108,858-8548,Sunglass Hut
21,Accessories,E266,858-8547,Sunglass Hut
22,Accessories,W360,858-9963,Watch World International
23,Accessories,E275,854-2280,"Zap ""Create your Own Cap"" (Cart)"
24,APPAREL-CHILDREN'S,abercrombie,W209,854-2671
25,APPAREL-CHILDREN'S,Authentic Northern Reflections,W144,851-0846
26,APPAREL-CHILDREN'S,Baby Place,N276,854-3715
27,APPAREL-CHILDREN'S,Celebrating the Seasons,West 1,854-9693
28,APPAREL-CHILDREN'S,Children's Place,S110,854-6165
29,APPAREL-CHILDREN'S,Gap Kids/baby Gap,S160,854-0984
30,APPAREL-CHILDREN'S,GymBaby,N288,876-0954
31,APPAREL-CHILDREN'S,Gymboree,S140,854-2815
32,APPAREL-CHILDREN'S,Joe Cool's Hot Shop,SNOOPY,883-8789
33,APPAREL-CHILDREN'S,"Kids ""R"" Us",E212,858-8555
34,APPAREL-CHILDREN'S,Limited Too,W200,851-9557
35,APPAREL-CHILDREN'S,Northern Experience,S200,854-4707
36,APPAREL-CHILDREN'S,Old Navy Clothing,E248,853-0100
37,APPAREL-CHILDREN'S,Snoopy's Boutique,SNOOPY,883-8630
38,APPAREL-CHILDREN'S,Varie-tee's (Cart),West 1,858-9615
